STOREKEY,BUSINESSENTITYID,STORENAME,SALESPERSONKEY,SALESPERSONID,DEMOGRAPHICS,ROWGUID,STOREMODIFIEDDATE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
554,1310,Unified Sports Company,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1998</YearOpened><Specialty>Mountain</Specialty><SquareFeet>80000</SquareFeet><Brands>4+</Brands><Internet>ISDN</Internet><NumberEmployees>98</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,ba26c8cb49dc5e119b66227720311a0acf21bb3f42d8508f1772c61cda38fc30
555,1312,National Manufacturing,5,278,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>United Security</BankName><BusinessType>OS</BusinessType><YearOpened>1999</YearOpened><Specialty>Road</Specialty><SquareFeet>80000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>99</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,c56c3d49c276bbbc35d60aa9712bc1fa118890070cb8071cba9a34154cfee469
556,1314,Volume Bike Sellers,13,286,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>OS</BusinessType><YearOpened>1999</YearOpened><Specialty>Mountain</Specialty><SquareFeet>78000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>100</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,550fb91ab095a1dc4b7782942745c9f64aad079010388d26669aa113b8a5ba87
557,1316,Wheelsets Storehouse,2,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>OS</BusinessType><YearOpened>1979</YearOpened><Specialty>Road</Specialty><SquareFeet>73000</SquareFeet><Brands>2</Brands><Internet>T1</Internet><NumberEmployees>66</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,25c48e3cec5d4743c8959a724e853959f6e07cf147351a5d591bfd9eaa93aa5e
558,1318,Town Industries,4,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>OS</BusinessType><YearOpened>1974</YearOpened><Specialty>Touring</Specialty><SquareFeet>38000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>40</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,75e5f2c2e15d610799008d77ef241f845aa3bc53e7397166b01e3b79971cce74
559,1320,Security Racks and Locks Wholesalers,8,281,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>OS</BusinessType><YearOpened>1980</YearOpened><Specialty>Mountain</Specialty><SquareFeet>41000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>43</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,79967667916b2013cda6b6ecafeb64ead06a2788c3003e34564b216ac116d365
560,1322,Rapid Bikes,9,282,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1986</YearOpened><Specialty>Mountain</Specialty><SquareFeet>40000</SquareFeet><Brands>2</Brands><Internet>T2</Internet><NumberEmployees>46</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,b604cb26168ae215e3a0615a6aa7636354b1accd2913d930213b5c2376446265
561,1324,Metro Sports Equipment,17,290,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>International Security</BankName><BusinessType>OS</BusinessType><YearOpened>1992</YearOpened><Specialty>Mountain</Specialty><SquareFeet>41000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>49</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,0a935748b328c833eefa2575bd94f2cbcf909a337f36227d05948f5f5e1c2302
562,1326,Nearby Sporting Goods,16,289,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>OS</BusinessType><YearOpened>1998</YearOpened><Specialty>Road</Specialty><SquareFeet>71000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>52</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,758e249f9acdeb2bfb675503db85d33397f7b3cf4f65318e6cd0f37ee1a054d7
563,1328,Front Sporting Goods,7,280,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1999</YearOpened><Specialty>Mountain</Specialty><SquareFeet>70000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>55</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,b08c42e3e907dd49a0dcc6eadcebf90ee560b260ab3f21213a175cba8839b57a
564,1330,Elite Bikes,4,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>United Security</BankName><BusinessType>OS</BusinessType><YearOpened>1999</YearOpened><Specialty>Road</Specialty><SquareFeet>69000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>58</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,41673808a313ce34ee527a537c2a40145332b168b7fdc1b8503fce8f5cb3a728
565,1332,Catalog Store,2,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>United Security</BankName><BusinessType>OS</BusinessType><YearOpened>1999</YearOpened><Specialty>Mountain</Specialty><SquareFeet>69000</SquareFeet><Brands>3</Brands><Internet>ISDN</Internet><NumberEmployees>55</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,6b632539fb8a8292905a6f73a15cd3aa9657a5a65d425468ad9b9d76f657d93d
566,1334,Chic Department Stores,4,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>OS</BusinessType><YearOpened>1999</YearOpened><Specialty>Mountain</Specialty><SquareFeet>71000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>58</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,8fb320d04b5eba19f64294991e4f7ea07a8011cd4188e3b4d13b7464cc639f3a
567,1336,Eastside Department Store,3,276,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>OS</BusinessType><YearOpened>1979</YearOpened><Specialty>Road</Specialty><SquareFeet>70000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>61</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,f21df9e1b33e7666423f66bc7fff2920a8124a0272094d8f508c69f216aa025b
568,1338,Sports Sales and Rental,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1996</YearOpened><Specialty>Mountain</Specialty><SquareFeet>72000</SquareFeet><Brands>4+</Brands><Internet>T2</Internet><NumberEmployees>64</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,bb096aff9866e2e61fc232e9af49040a34b5e3581d154163139e5d7b36ab68ab
569,1340,Cycle Merchants,5,278,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Security</BankName><BusinessType>OS</BusinessType><YearOpened>1991</YearOpened><Specialty>Road</Specialty><SquareFeet>75000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>67</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,6d69ab3463653cd989daeacde951316466c7cd01ce37a164cd1decd385c5dc99
570,1342,Global Sports Outlet,13,286,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>OS</BusinessType><YearOpened>1993</YearOpened><Specialty>Mountain</Specialty><SquareFeet>75000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>70</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,282bb3763591bd6eb549bdb2e13cf564185ebe1282b5440e22de4d861ca65f2f
571,1344,Exotic Bikes,2,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1998</YearOpened><Specialty>Road</Specialty><SquareFeet>75000</SquareFeet><Brands>4+</Brands><Internet>ISDN</Internet><NumberEmployees>73</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,4d9689b103a08d5cce9013c121fbc424c00014b4ab0e6a00af056b087c4998ad
572,1346,Fitness Hotel,4,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>United Security</BankName><BusinessType>OS</BusinessType><YearOpened>1990</YearOpened><Specialty>Road</Specialty><SquareFeet>75000</SquareFeet><Brands>2</Brands><Internet>T1</Internet><NumberEmployees>76</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,c93447ce0d11be960138514d3f2976bddf0ae4c711139bef3d5a834d70133335
573,1348,Healthy Activity Store,3,276,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>OS</BusinessType><YearOpened>1995</YearOpened><Specialty>Mountain</Specialty><SquareFeet>74000</SquareFeet><Brands>4+</Brands><Internet>ISDN</Internet><NumberEmployees>79</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,761305b3eaa6be66a6a34b84b5be4e4f2d995c02bd9a48f8051d859278788bfb
574,1350,Every Bike Shop,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>OS</BusinessType><YearOpened>1987</YearOpened><Specialty>Road</Specialty><SquareFeet>76000</SquareFeet><Brands>2</Brands><Internet>T1</Internet><NumberEmployees>80</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,e0cd0e3bb101091b09b5bd7b0f0821ea90fcc7d85cf9029aa9448f4d45b03c4c
575,1352,Grand Industries,5,278,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1992</YearOpened><Specialty>Touring</Specialty><SquareFeet>77000</SquareFeet><Brands>2</Brands><Internet>T1</Internet><NumberEmployees>81</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,acb20e195e0969419363d8c0349f08647dfd296c26a7ec8a2332654112adab34
576,1354,Ideal Components,13,286,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Security</BankName><BusinessType>OS</BusinessType><YearOpened>1984</YearOpened><Specialty>Touring</Specialty><SquareFeet>76000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>82</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,7632db15a087d998e69ebcd0f1083e17cb89a0e08cdcb8ea01616a3f64d1c6df
577,1356,Larger Cycle Shop,2,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>OS</BusinessType><YearOpened>1989</YearOpened><Specialty>Road</Specialty><SquareFeet>77000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>83</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,a0f37c7b64ed29f29b4bcb18f060403067926971c4258eca4321fcdd79badc8f
578,1358,Leading Sales & Repair,4,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1981</YearOpened><Specialty>Road</Specialty><SquareFeet>75000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>84</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,a39c8ebc6d6a20625ec0c736fad620a5766dbff16cb9ec74f63e77dd4fa9ec1a
579,1360,Main Bicycle Services,3,276,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>United Security</BankName><BusinessType>OS</BusinessType><YearOpened>1986</YearOpened><Specialty>Road</Specialty><SquareFeet>75000</SquareFeet><Brands>3</Brands><Internet>T2</Internet><NumberEmployees>85</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,aa7e0458c962e4bd5bef6cf65b5adb9c59fcec13e506428ec907b0f43cc9c324
580,1362,Metro Bike Mart,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>OS</BusinessType><YearOpened>1978</YearOpened><Specialty>Mountain</Specialty><SquareFeet>76000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>86</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,b1b21356751f0169cc728bf80cf22298c4810979ccac5fbcaf3ad394990c02c1
581,1364,Tandem Sales and Service,5,278,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>BS</BusinessType><YearOpened>1972</YearOpened><Specialty>Road</Specialty><SquareFeet>38000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>34</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,edb85df9b86d2ba6caa2003f38a18236f526386df6c74893b7e7a407d22b9e7c
582,1366,Sensible Sports,13,286,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>United Security</BankName><BusinessType>BS</BusinessType><YearOpened>1978</YearOpened><Specialty>Touring</Specialty><SquareFeet>37000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>33</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,188f782c4376f387d28d1a4d30b6373374aa9f6c70f29e4c9428b5e741120907
583,1368,Reliable Retail Center,5,278,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>BS</BusinessType><YearOpened>1984</YearOpened><Specialty>Road</Specialty><SquareFeet>35000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>32</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,3d469db284336883419aa9d0a3b954011e83dbd3cd98ee995700efb7b30f364f
584,1370,Liquidation Sales,13,286,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>BS</BusinessType><YearOpened>1990</YearOpened><Specialty>Touring</Specialty><SquareFeet>37000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>31</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,5cb9029d5fd9dbfaab4c0d7fec0122a3155724f8db5315c7d8d87b71995dacaf
585,1372,Friendly Bike Shop,2,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>BS</BusinessType><YearOpened>1996</YearOpened><Specialty>Road</Specialty><SquareFeet>39000</SquareFeet><Brands>2</Brands><Internet>ISDN</Internet><NumberEmployees>30</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,06ae4fdbdd2e75c974b0d0ae6cce9fef99a78d727c33c42ed401781611e8196a
586,1374,Yellow Bicycle Company,4,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1000000</AnnualSales><AnnualRevenue>100000</AnnualRevenue><BankName>International Security</BankName><BusinessType>BS</BusinessType><YearOpened>2001</YearOpened><Specialty>Mountain</Specialty><SquareFeet>26000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>29</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,f5941c178f6e8fc644c46a6248dda25cb5166c728b9f97670c62bb0f29c918fd
587,1376,Sports Products Store,3,276,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1000000</AnnualSales><AnnualRevenue>100000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>BS</BusinessType><YearOpened>1971</YearOpened><Specialty>Road</Specialty><SquareFeet>26000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>28</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,d1c41fdeabd7a81ae71f429ad10bc6156e583566d51e30178a6b1a5ec2131d19
588,1378,Selected Distributors,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1000000</AnnualSales><AnnualRevenue>100000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>BS</BusinessType><YearOpened>1998</YearOpened><Specialty>Mountain</Specialty><SquareFeet>27000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>27</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,023f440b58d0c19e4502aa7f14e94c77d965640ca8800b2a3b529fc74b1fb531
589,1380,Impervious Paint Company,17,290,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>BS</BusinessType><YearOpened>1972</YearOpened><Specialty>Mountain</Specialty><SquareFeet>18000</SquareFeet><Brands>3</Brands><Internet>ISDN</Internet><NumberEmployees>10</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,b9da6ef0816fa2d47430e6a432d793192a8e77794419df94488edeaad61940b2
590,1382,Shipping Specialists,16,289,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>BS</BusinessType><YearOpened>1978</YearOpened><Specialty>Road</Specialty><SquareFeet>20000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>13</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,95217ffe7153e722fa10d9f2039d51aa48a507b0f5cd97de9ce9c0af5bab1d39
591,1384,Finer Sporting Goods,17,290,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>United Security</BankName><BusinessType>BS</BusinessType><YearOpened>1984</YearOpened><Specialty>Touring</Specialty><SquareFeet>18000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>16</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,16300540c7596f881a128571eeb86bf60fd36f74e9b9f2127d2d9de87d0b9678
592,1386,Authentic Sales and Service,16,289,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>BS</BusinessType><YearOpened>1990</YearOpened><Specialty>Mountain</Specialty><SquareFeet>20000</SquareFeet><Brands>AW</Brands><Internet>DSL</Internet><NumberEmployees>19</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,efc8731a5221f6f9eb2569042cbdf386bc2cb51ff0d3b87d4fe7ca476af9c1fc
593,1388,Official Parts Shop,7,280,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1000000</AnnualSales><AnnualRevenue>100000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>BS</BusinessType><YearOpened>1996</YearOpened><Specialty>Road</Specialty><SquareFeet>24000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>22</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,caae358f301486d41e6db53a53c26993e182f2092981e09e0c2f8d84b893b6ca
594,1390,"Contoso, Ltd.",4,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1000000</AnnualSales><AnnualRevenue>100000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>BS</BusinessType><YearOpened>2001</YearOpened><Specialty>Road</Specialty><SquareFeet>24000</SquareFeet><Brands>4+</Brands><Internet>T2</Internet><NumberEmployees>25</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,8fc1d5cbdcaafa05fff6871c45d7fe0a02ae278844b2793b95ff8aacbac9679d
595,1392,Discount Tours,8,281,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1000000</AnnualSales><AnnualRevenue>100000</AnnualRevenue><BankName>International Security</BankName><BusinessType>BS</BusinessType><YearOpened>1971</YearOpened><Specialty>Road</Specialty><SquareFeet>28000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>28</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,b29749c466bc6dc25ed5d948ca0bad7b897592a5d8fb96d924abb74e40ecdbfe
596,1394,Tire Exchange,9,282,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>BS</BusinessType><YearOpened>1998</YearOpened><Specialty>Mountain</Specialty><SquareFeet>36000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>31</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,9af844777a2d9974a1e4b3cd6c02cd673e8d3ecb51c4e4b4bf337d01614dd1b3
